Date,ALA.TO,BDGI.TO,GEI.TO,MATR.TO,MTL.TO,PSI.TO,PD.TO,SES.TO
2017-01-03,0.006761558,0.009302241,0.004206228,-0.006157443,0.008536416,-0.001018933,0.014915612,-0.018965982
2017-01-04,0.02202363,0.013793273,0.008359664,0.003083363,0.00249613,0.006097624,0.044744227,-0.000870666
2017-01-05,-0.001147123,-0.004576315,0.005189347,-0.005613154,-0.008514351,-0.009160202,-0.019493795,0.007809057
2017-01-06,-0.001435971,-0.015408981,-0.007272282,-0.017890402,0.004016077,-0.004098573,0.029737201,0.01117329
2017-01-09,-0.006920646,-0.004980997,-0.005751888,-0.018800363,-0.025883251,-0.020223484,-0.016699207,-0.04100032
2017-01-10,-0.010470957,-0.012563334,-0.002625449,-0.005269446,0.011755845,0.002093183,-0.007802361,-0.004461894
2017-01-11,-0.003514914,0.001579017,0.008898143,0.004685253,0.001522953,0.002088743,-0.006548812,0.008017538
2017-01-12,-0.012697878,-0.002844,-0.003131513,-0.007036001,-0.035109158,-0.003658424,-0.036124289,-0.011601741
2017-01-13,-0.050276967,0.013515955,0.005733484,-0.001472101,0.001050567,-0.004197285,-0.029027587,-0.027299061
2017-01-16,0.008711794,-0.008465454,-0.002081018,-0.001769187,0.002096891,0.003149734,-0.009866246,-0.008337613
2017-01-17,0.004944683,0.001573127,0.004157964,0.0026529,0.026875559,0.029945779,0.022409881,0.058707545
2017-01-18,-0.008358201,0.004704232,0,-0.021723893,-0.008706929,-0.017445529,0.008275992,-0.023969247
2017-01-19,0.001863409,0.001563255,0,0.016114696,-0.012422115,-0.007794276,0.046956981,0.008053981
2017-01-20,0.006186206,0.015806965,0.009806556,0.006785799,0.009847064,0.007276264,0.014313822,0.033307415
2017-01-23,0.000774774,0,-0.011363736,-0.012426151,-0.027184376,-0.008320396,-0.023530537,-0.060409171
2017-01-24,0.025991295,0.018282474,0.018528498,0.018581748,0.01263828,0.012454978,0.017049633,0.035090938
2017-01-25,0.0057188,0.021801658,-0.011282067,0.024535786,0.030407219,0.043891093,0.021865784,0.033901631
2017-01-26,-0.066381091,0.00088554,-0.011411056,0.000855151,-0.026751116,-0.020444664,-0.020566258,-0.003424523
2017-01-27,0.001602498,0.017368605,-0.002611401,0.027260327,-0.005760248,-0.004544068,-0.009132444,-0.028710731
2017-01-30,-0.01548922,-0.028868193,-0.030804666,0.021122881,-0.009499354,-0.03240195,-0.049708076,-0.046141192
2017-01-31,0.006483199,-0.014449345,0.021873547,-0.013390006,-0.005848861,-0.004715975,0.008230479,0
2017-02-01,-0.003885152,-0.006387926,0.005263427,0.019343954,-0.010723853,0.014598994,0.010869713,0.021073234
2017-02-02,0.002591842,0.037435169,0.005235618,-0.01249009,-0.002158996,-0.001554097,-0.016349097,-0.02478325
2017-02-03,0.007413212,0.004107149,0.008837837,0.007349908,-0.001621903,0.003105716,0.03641666,0.012009321
2017-02-06,-0.014230633,-0.021003893,-0.011976236,-0.013653673,-0.009788252,-0.018253632,-0.017368547,-0.007372888
2017-02-07,-0.011136776,0.004176652,-0.024391546,-0.002753493,-0.017640732,-0.014846569,-0.03986774,-0.025294412
2017-02-08,0.001317163,-0.023190118,-0.01242222,0.008510903,0.002776942,0.010098456,0.011157654,0.000948052
2017-02-09,0.013721232,0.008797237,0.0326145,0,-0.054129049,0.001585302,0.00828732,0.017849388
